2026-04-30T22:24:58Z | INFO     | __main__ | main: trading bot starting up
2026-04-30T22:24:58Z | INFO     | __main__ | main: training window 2024-04-30 → 2026-01-30 | backtest window 2026-01-30 → 2026-04-30
2026-04-30T22:24:58Z | INFO     | __main__ | main: no saved Q-table — running cold start training
2026-04-30T22:25:01Z | ERROR    | yfinance | $AAPL: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:25:01Z | ERROR    | yfinance | 
1 Failed download:
2026-04-30T22:25:01Z | ERROR    | yfinance | ['AAPL']: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:25:01Z | WARNING  | data.fetcher | fetch_prices: no data returned for AAPL (2024-04-30 to 2026-01-30, 1h)
2026-04-30T22:25:01Z | WARNING  | data.fetcher | fetch_multiple: skipping AAPL — no data available
2026-04-30T22:25:01Z | ERROR    | yfinance | $MSFT: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:25:01Z | ERROR    | yfinance | 
1 Failed download:
2026-04-30T22:25:01Z | ERROR    | yfinance | ['MSFT']: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:25:01Z | WARNING  | data.fetcher | fetch_prices: no data returned for MSFT (2024-04-30 to 2026-01-30, 1h)
2026-04-30T22:25:01Z | WARNING  | data.fetcher | fetch_multiple: skipping MSFT — no data available
2026-04-30T22:25:01Z | ERROR    | yfinance | $GOOG: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:25:01Z | ERROR    | yfinance | 
1 Failed download:
2026-04-30T22:25:01Z | ERROR    | yfinance | ['GOOG']: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:25:01Z | WARNING  | data.fetcher | fetch_prices: no data returned for GOOG (2024-04-30 to 2026-01-30, 1h)
2026-04-30T22:25:01Z | WARNING  | data.fetcher | fetch_multiple: skipping GOOG — no data available
2026-04-30T22:25:01Z | ERROR    | engine.trading_engine | train: no price data fetched — aborting training
2026-04-30T22:31:36Z | INFO     | __main__ | main: trading bot starting up
2026-04-30T22:31:36Z | INFO     | __main__ | main: training window 2024-04-30 → 2026-01-30 | backtest window 2026-01-30 → 2026-04-30
2026-04-30T22:31:36Z | INFO     | __main__ | main: no saved Q-table — running cold start training
2026-04-30T22:31:37Z | ERROR    | yfinance | $AAPL: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:31:37Z | ERROR    | yfinance | 
1 Failed download:
2026-04-30T22:31:37Z | ERROR    | yfinance | ['AAPL']: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:31:37Z | WARNING  | data.fetcher | fetch_prices: no data returned for AAPL (2024-04-30 to 2026-01-30, 1h)
2026-04-30T22:31:37Z | WARNING  | data.fetcher | fetch_multiple: skipping AAPL — no data available
2026-04-30T22:31:37Z | ERROR    | yfinance | $MSFT: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:31:37Z | ERROR    | yfinance | 
1 Failed download:
2026-04-30T22:31:37Z | ERROR    | yfinance | ['MSFT']: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:31:37Z | WARNING  | data.fetcher | fetch_prices: no data returned for MSFT (2024-04-30 to 2026-01-30, 1h)
2026-04-30T22:31:37Z | WARNING  | data.fetcher | fetch_multiple: skipping MSFT — no data available
2026-04-30T22:31:38Z | ERROR    | yfinance | $GOOG: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:31:38Z | ERROR    | yfinance | 
1 Failed download:
2026-04-30T22:31:38Z | ERROR    | yfinance | ['GOOG']: possibly delisted; no price data found  (1h 2024-04-30 -> 2026-01-30) (Yahoo error = "1h data not available for startTime=1714449600 and endTime=1769749200. The requested range must be within the last 730 days.")
2026-04-30T22:31:38Z | WARNING  | data.fetcher | fetch_prices: no data returned for GOOG (2024-04-30 to 2026-01-30, 1h)
